VariableMeaning,VariableName,VariableClass
NZL_Landsat_Band754_ycbcr2,ls58,0
NZL_Landsat_Band754_ycbcr3,ls59,0
NZL_Landsat_Band7_CV,ls60,0
NZL_Landsat_Band7_Kurtosis,ls61,0
NZL_Landsat_Band7_Skewness,ls62,0
NZL_Landsat_Band7_STD,ls63,0
NZL_Landsat_Band8_texture_M1,ls64,0
NZL_Landsat_Band8_texture_M10,ls65,0
NZL_Landsat_Band8_texture_M11,ls66,0
NZL_Landsat_Band8_texture_M12,ls67,0
NZL_Landsat_Band8_texture_M13,ls68,0
NZL_Landsat_Band8_texture_M2,ls69,0
NZL_Landsat_Band8_texture_M3,ls70,0
NZL_Landsat_Band8_texture_M4,ls71,0
NZL_Landsat_Band8_texture_M5,ls72,0
NZL_Landsat_Band8_texture_M6,ls73,0
NZL_Landsat_Band8_texture_M7,ls74,0
NZL_Landsat_Band8_texture_M8,ls75,0
NZL_Landsat_Band8_texture_M9,ls76,0
NZL_Landsat_Banddvi,ls77,0
NZL_Landsat_Banddvi_CV,ls78,0
NZL_Landsat_Banddvi_Kurtosis,ls79,0
NZL_Landsat_Banddvi_Skewness,ls80,0
NZL_Landsat_Banddvi_STD,ls81,0
NZL_Landsat_Bandevi,ls82,0
NZL_Landsat_Bandevi_CV,ls83,0
NZL_Landsat_Bandevi_Kurtosis,ls84,0
NZL_Landsat_Bandevi_Skewness,ls85,0
NZL_Landsat_Bandevi_STD,ls86,0
NZL_Landsat_Bandndsi,ls87,0
NZL_Landsat_Bandndsi_CV,ls88,0
NZL_Landsat_Bandndsi_Kurtosis,ls89,0
NZL_Landsat_Bandndsi_Skewness,ls90,0
NZL_Landsat_Bandndsi_STD,ls91,0
NZL_Landsat_Bandndvi,ls92,0
NZL_Landsat_Bandndvi_CV,ls93,0
NZL_Landsat_Bandndvi_Kurtosis,ls94,0
NZL_Landsat_Bandndvi_Skewness,ls95,0
NZL_Landsat_Bandndvi_STD,ls96,0
